date,age,sex
2017_Jun_05_1451,35,Male
2017_Jun_05_1552,26,Female
2017_Jun_05_1554,20,Female
2017_Jun_07_1424,26,Female
2017_Jun_11_0926,26,Male
2017_Jun_11_1029,25,Female
2017_Jun_14_0918,23,Female
2017_Jun_14_0919,21,Female
2017_Jun_15_0916,22,Female
2017_Jun_15_0926,24,Female
2017_Jun_15_1034,22,Male
2017_Jun_18_0925,19,Female
2017_Jun_18_1026,22,Female
2017_Jun_18_1030,25,Male
2017_Jun_18_1109,23,Female
2017_May_25_1043,28,Female
2017_May_25_1111,19,Female
2017_May_25_1134,21,Female
2017_May_25_1146,28,Male
2017_May_25_1336,39,Male
2017_May_29_1350,33,Female
2017_May_29_1404,30,Male
2017_May_29_1407,27,Male
2017_May_29_1431,33,Female
2017_May_29_1436,35,Male
2017_May_29_1501,19,Female
2017_May_29_1534,24,Male
