date,age,sex
2016_Mar_14_1115,35,Male
2016_Mar_16_1000,22,Female
2016_Mar_16_1016,22,Female
2016_Mar_16_1046,22,Female
2016_Mar_16_1147,20,Female
2016_Mar_16_1543,27,Female
2016_Mar_16_1550,,
2016_Mar_16_1643,,
2016_Mar_16_1703,,
2016_Mar_17_1013,25,Female
2016_Mar_17_1049,28,Female
2016_Mar_17_1100,19,Female
2016_Mar_17_1107,26,Female
2016_Mar_17_1117,21,Female
2016_Mar_17_1123,20,Female
2016_Mar_17_1133,24,Male
2016_Mar_17_1353,28,Male
2016_Mar_17_1357,24,Female
2016_Mar_17_1431,18,Female
2016_Mar_21_1017,20,Female
2016_Mar_21_1042,,
2016_Mar_22_1020,19,Female
2016_Mar_22_1117,26,Female
2016_Mar_22_1133,25,Female
2016_Mar_22_1225,28,Male
2016_Jul_24_1107,25,Female
2016_Jul_24_1132,25,Male
2016_Jul_25_1346,22,Female
2016_Jul_25_1403,,
2016_Jul_26_0923,31,Female
2016_Jul_26_1027,24,Female
2016_Jul_26_1142,25,Female
2016_Jul_26_1206,24,Male
2016_Jul_27_1312,35,Male
2016_Jul_27_1436,32,Male
2016_Jul_27_1512,25,Female
2016_Jul_27_1530,28,Female
2016_Aug_30_1333,22,Female
2016_Oct_31_1403,26,Female
2016_Nov_02_1407,24,Male
2016_Nov_02_1423,19,Female
2016_Nov_02_1450,19,Female
2016_Nov_06_1853,39,Male
2016_Nov_07_1005,21,Female
2016_Nov_07_1020,23,Female
2016_Nov_07_1220,33,Male
2016_Nov_07_1351,21,Female
2016_Nov_07_1425,20,Male
2016_Nov_07_1500,23,Female
2016_Nov_07_1745,,
2016_Nov_08_1038,,
2016_Nov_08_1052,,
2016_Nov_08_1446,,
2016_Nov_08_1505,,
