Unnamed: 13,allowed_keys,date,expName,frameRate,img,limit_chars,participant,que,resp,trials.thisIndex,trials.thisN,trials.thisRepN,trials.thisTrialN
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_04_0938,demog_exp,119.987275553,Slides\Slides7.jpg,"[1, 3]",4,gpa,0,4,4,0,4
,"['1', '2', 'return', 'backspace']",2018_Dec_04_0938,demog_exp,119.987275553,Slides\Slides2.jpg,"[1, 1]",4,sex,1,5,5,0,5
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_04_0938,demog_exp,119.987275553,Slides\Slides3.jpg,"[1, 2]",4,age,24,6,6,0,6
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_04_0938,demog_exp,119.987275553,Slides\Slides4.jpg,"[3, 3]",4,sat,699,7,7,0,7
,"['1', '2', 'return', 'backspace']",2018_Dec_04_0938,demog_exp,119.987275553,Slides\Slides8.jpg,"[1, 1]",4,dominant_hand,1,8,8,0,8
,"['1', '2', 'return', 'backspace']",2018_Dec_04_0938,demog_exp,119.987275553,Slides\Slides9.jpg,"[1, 1]",4,adhd,1,9,9,0,9
,[],2018_Dec_04_0938,demog_exp,119.987275553,Slides\Slides10.jpg,"[1, 140]",4,lang,תירבע,10,10,0,10
,"['1', '2', '3', 'return', 'backspace']",2018_Dec_04_0938,demog_exp,119.987275553,Slides\Slides11.jpg,"[1, 1]",4,sight,2,11,11,0,11
,"['1', '2', 'return', 'backspace']",2018_Dec_04_0938,demog_exp,119.987275553,Slides\Slides13.jpg,"[1, 1]",4,color_blind,1,12,12,0,12
,"['1', '2', 'return', 'backspace']",2018_Dec_04_0938,demog_exp,119.987275553,Slides\Slides12.jpg,"[1, 1]",4,credit_or_payment,1,13,13,0,13
,['return'],2018_Dec_04_0954,demog_exp,119.775807667,Slides\Slides1.jpg,"[0, 0]",5,intro,,0,0,0,0
,[],2018_Dec_04_0954,demog_exp,119.775807667,Slides\Slides0.jpg,"[1, 140]",5,debrief,היארל סחיב הבוגתה תוריהמ תקידב,1,1,0,1
,"['0', '1', '2', '3', 'return', 'backspace']",2018_Dec_04_0954,demog_exp,119.775807667,Slides\Slides5.jpg,"[1, 1]",5,degree,1,2,2,0,2
,[],2018_Dec_04_0954,demog_exp,119.775807667,Slides\Slides6.jpg,"[1, 140]",5,faculty,תואנובשחו הלכלכ,3,3,0,3
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_04_0954,demog_exp,119.775807667,Slides\Slides7.jpg,"[1, 3]",5,gpa,90,4,4,0,4
,"['1', '2', 'return', 'backspace']",2018_Dec_04_0954,demog_exp,119.775807667,Slides\Slides2.jpg,"[1, 1]",5,sex,2,5,5,0,5
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_04_0954,demog_exp,119.775807667,Slides\Slides3.jpg,"[1, 2]",5,age,23,6,6,0,6
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_04_0954,demog_exp,119.775807667,Slides\Slides4.jpg,"[3, 3]",5,sat,725,7,7,0,7
,"['1', '2', 'return', 'backspace']",2018_Dec_04_0954,demog_exp,119.775807667,Slides\Slides8.jpg,"[1, 1]",5,dominant_hand,1,8,8,0,8
,"['1', '2', 'return', 'backspace']",2018_Dec_04_0954,demog_exp,119.775807667,Slides\Slides9.jpg,"[1, 1]",5,adhd,2,9,9,0,9
,[],2018_Dec_04_0954,demog_exp,119.775807667,Slides\Slides10.jpg,"[1, 140]",5,lang,תיברע,10,10,0,10
