Unnamed: 13,allowed_keys,date,expName,frameRate,img,limit_chars,participant,que,resp,trials.thisIndex,trials.thisN,trials.thisRepN,trials.thisTrialN
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_05_1627,demog_exp,120.256286297,Slides\Slides3.jpg,"[1, 2]",14,age,26,6,6,0,6
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_05_1627,demog_exp,120.256286297,Slides\Slides4.jpg,"[3, 3]",14,sat,689,7,7,0,7
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1627,demog_exp,120.256286297,Slides\Slides8.jpg,"[1, 1]",14,dominant_hand,1,8,8,0,8
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1627,demog_exp,120.256286297,Slides\Slides9.jpg,"[1, 1]",14,adhd,2,9,9,0,9
,[],2018_Dec_05_1627,demog_exp,120.256286297,Slides\Slides10.jpg,"[1, 140]",14,lang,תירבע,10,10,0,10
,"['1', '2', '3', 'return', 'backspace']",2018_Dec_05_1627,demog_exp,120.256286297,Slides\Slides11.jpg,"[1, 1]",14,sight,1,11,11,0,11
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1627,demog_exp,120.256286297,Slides\Slides13.jpg,"[1, 1]",14,color_blind,1,12,12,0,12
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1627,demog_exp,120.256286297,Slides\Slides12.jpg,"[1, 1]",14,credit_or_payment,2,13,13,0,13
,['return'],2018_Dec_05_1654,demog_exp,120.057200536,Slides\Slides1.jpg,"[0, 0]",15,intro,,0,0,0,0
,[],2018_Dec_05_1654,demog_exp,120.057200536,Slides\Slides0.jpg,"[1, 140]",15,debrief,םיינוניצח םייוריג תעפשהב זוכיר קודבל,1,1,0,1
,"['0', '1', '2', '3', 'return', 'backspace']",2018_Dec_05_1654,demog_exp,120.057200536,Slides\Slides5.jpg,"[1, 1]",15,degree,1,2,2,0,2
,[],2018_Dec_05_1654,demog_exp,120.057200536,Slides\Slides6.jpg,"[1, 140]",15,faculty,היגולוכיספ,3,3,0,3
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_05_1654,demog_exp,120.057200536,Slides\Slides7.jpg,"[1, 3]",15,gpa,0,4,4,0,4
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1654,demog_exp,120.057200536,Slides\Slides2.jpg,"[1, 1]",15,sex,2,5,5,0,5
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_05_1654,demog_exp,120.057200536,Slides\Slides3.jpg,"[1, 2]",15,age,19,6,6,0,6
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_05_1654,demog_exp,120.057200536,Slides\Slides4.jpg,"[3, 3]",15,sat,600,7,7,0,7
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1654,demog_exp,120.057200536,Slides\Slides8.jpg,"[1, 1]",15,dominant_hand,1,8,8,0,8
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1654,demog_exp,120.057200536,Slides\Slides9.jpg,"[1, 1]",15,adhd,2,9,9,0,9
,[],2018_Dec_05_1654,demog_exp,120.057200536,Slides\Slides10.jpg,"[1, 140]",15,lang,תיברע,10,10,0,10
,"['1', '2', '3', 'return', 'backspace']",2018_Dec_05_1654,demog_exp,120.057200536,Slides\Slides11.jpg,"[1, 1]",15,sight,2,11,11,0,11
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1654,demog_exp,120.057200536,Slides\Slides13.jpg,"[1, 1]",15,color_blind,1,12,12,0,12
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1654,demog_exp,120.057200536,Slides\Slides12.jpg,"[1, 1]",15,credit_or_payment,1,13,13,0,13
,['return'],2018_Dec_05_1712,demog_exp,119.970400353,Slides\Slides1.jpg,"[0, 0]",16,intro,,0,0,0,0
,[],2018_Dec_05_1712,demog_exp,119.970400353,Slides\Slides0.jpg,"[1, 140]",16,debrief,זיזמ קדבנה עבצא הזיא לע העיפשמ בשחמב תועבצאה תזוזת םא תעדל ,1,1,0,1
,"['0', '1', '2', '3', 'return', 'backspace']",2018_Dec_05_1712,demog_exp,119.970400353,Slides\Slides5.jpg,"[1, 1]",16,degree,1,2,2,0,2
,[],2018_Dec_05_1712,demog_exp,119.970400353,Slides\Slides6.jpg,"[1, 140]",16,faculty,םדאה תוחתפתהו ץועיו היגולוכיספ,3,3,0,3
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_05_1712,demog_exp,119.970400353,Slides\Slides7.jpg,"[1, 3]",16,gpa,0,4,4,0,4
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1712,demog_exp,119.970400353,Slides\Slides2.jpg,"[1, 1]",16,sex,2,5,5,0,5
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_05_1712,demog_exp,119.970400353,Slides\Slides3.jpg,"[1, 2]",16,age,20,6,6,0,6
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_05_1712,demog_exp,119.970400353,Slides\Slides4.jpg,"[3, 3]",16,sat,637,7,7,0,7
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1712,demog_exp,119.970400353,Slides\Slides8.jpg,"[1, 1]",16,dominant_hand,1,8,8,0,8
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1712,demog_exp,119.970400353,Slides\Slides9.jpg,"[1, 1]",16,adhd,2,9,9,0,9
,[],2018_Dec_05_1712,demog_exp,119.970400353,Slides\Slides10.jpg,"[1, 140]",16,lang,תיברע,10,10,0,10
,"['1', '2', '3', 'return', 'backspace']",2018_Dec_05_1712,demog_exp,119.970400353,Slides\Slides11.jpg,"[1, 1]",16,sight,1,11,11,0,11
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1712,demog_exp,119.970400353,Slides\Slides13.jpg,"[1, 1]",16,color_blind,1,12,12,0,12
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1712,demog_exp,119.970400353,Slides\Slides12.jpg,"[1, 1]",16,credit_or_payment,1,13,13,0,13
,['return'],2018_Dec_05_1715,demog_exp,120.001966413,Slides\Slides1.jpg,"[0, 0]",17,intro,,0,0,0,0
,[],2018_Dec_05_1715,demog_exp,120.001966413,Slides\Slides0.jpg,"[1, 140]",17,debrief,היפ לע לועפל יל תומרוגו יתעד תא תוחיסמ דיה לש תושקהה םא זוכיר קודבל ,1,1,0,1
,"['0', '1', '2', '3', 'return', 'backspace']",2018_Dec_05_1715,demog_exp,120.001966413,Slides\Slides5.jpg,"[1, 1]",17,degree,1,2,2,0,2
,[],2018_Dec_05_1715,demog_exp,120.001966413,Slides\Slides6.jpg,"[1, 140]",17,faculty,םיטפשמ,3,3,0,3
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_05_1715,demog_exp,120.001966413,Slides\Slides7.jpg,"[1, 3]",17,gpa,88,4,4,0,4
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1715,demog_exp,120.001966413,Slides\Slides2.jpg,"[1, 1]",17,sex,2,5,5,0,5
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_05_1715,demog_exp,120.001966413,Slides\Slides3.jpg,"[1, 2]",17,age,23,6,6,0,6
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_05_1715,demog_exp,120.001966413,Slides\Slides4.jpg,"[3, 3]",17,sat,646,7,7,0,7
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1715,demog_exp,120.001966413,Slides\Slides8.jpg,"[1, 1]",17,dominant_hand,1,8,8,0,8
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1715,demog_exp,120.001966413,Slides\Slides9.jpg,"[1, 1]",17,adhd,2,9,9,0,9
,[],2018_Dec_05_1715,demog_exp,120.001966413,Slides\Slides10.jpg,"[1, 140]",17,lang,תירבע,10,10,0,10
,"['1', '2', '3', 'return', 'backspace']",2018_Dec_05_1715,demog_exp,120.001966413,Slides\Slides11.jpg,"[1, 1]",17,sight,2,11,11,0,11
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1715,demog_exp,120.001966413,Slides\Slides13.jpg,"[1, 1]",17,color_blind,1,12,12,0,12
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1715,demog_exp,120.001966413,Slides\Slides12.jpg,"[1, 1]",17,credit_or_payment,2,13,13,0,13
,['return'],2018_Dec_05_1756,demog_exp,120.084390836,Slides\Slides1.jpg,"[0, 0]",18,intro,,0,0,0,0
,[],2018_Dec_05_1756,demog_exp,120.084390836,Slides\Slides0.jpg,"[1, 140]",18,debrief, ונלש תוטלחהה לע עקרב םיאור ונחנאש תונומתה תעפשה איה המ קודבל ,1,1,0,1
,"['0', '1', '2', '3', 'return', 'backspace']",2018_Dec_05_1756,demog_exp,120.084390836,Slides\Slides5.jpg,"[1, 1]",18,degree,1,2,2,0,2
,[],2018_Dec_05_1756,demog_exp,120.084390836,Slides\Slides6.jpg,"[1, 140]",18,faculty,הקיטסיטטסו היגולוכיספ,3,3,0,3
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_05_1756,demog_exp,120.084390836,Slides\Slides7.jpg,"[1, 3]",18,gpa,0,4,4,0,4
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1756,demog_exp,120.084390836,Slides\Slides2.jpg,"[1, 1]",18,sex,2,5,5,0,5
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_05_1756,demog_exp,120.084390836,Slides\Slides3.jpg,"[1, 2]",18,age,18,6,6,0,6
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_05_1756,demog_exp,120.084390836,Slides\Slides4.jpg,"[3, 3]",18,sat,603,7,7,0,7
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1756,demog_exp,120.084390836,Slides\Slides8.jpg,"[1, 1]",18,dominant_hand,1,8,8,0,8
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1756,demog_exp,120.084390836,Slides\Slides9.jpg,"[1, 1]",18,adhd,2,9,9,0,9
,[],2018_Dec_05_1756,demog_exp,120.084390836,Slides\Slides10.jpg,"[1, 140]",18,lang,תיברע,10,10,0,10
,"['1', '2', '3', 'return', 'backspace']",2018_Dec_05_1756,demog_exp,120.084390836,Slides\Slides11.jpg,"[1, 1]",18,sight,2,11,11,0,11
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1756,demog_exp,120.084390836,Slides\Slides13.jpg,"[1, 1]",18,color_blind,1,12,12,0,12
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1756,demog_exp,120.084390836,Slides\Slides12.jpg,"[1, 1]",18,credit_or_payment,1,13,13,0,13
,['return'],2018_Dec_05_1819,demog_exp,119.934774045,Slides\Slides1.jpg,"[0, 0]",19,intro,,0,0,0,0
,[],2018_Dec_05_1819,demog_exp,119.934774045,Slides\Slides0.jpg,"[1, 140]",19,debrief,זוכירו היצאנידרוק תקידב,1,1,0,1
,"['0', '1', '2', '3', 'return', 'backspace']",2018_Dec_05_1819,demog_exp,119.934774045,Slides\Slides5.jpg,"[1, 1]",19,degree,1,2,2,0,2
,[],2018_Dec_05_1819,demog_exp,119.934774045,Slides\Slides6.jpg,"[1, 140]",19,faculty,תונמאה תודלותו היגולוכיספ,3,3,0,3
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_05_1819,demog_exp,119.934774045,Slides\Slides7.jpg,"[1, 3]",19,gpa,90,4,4,0,4
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1819,demog_exp,119.934774045,Slides\Slides2.jpg,"[1, 1]",19,sex,2,5,5,0,5
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_05_1819,demog_exp,119.934774045,Slides\Slides3.jpg,"[1, 2]",19,age,22,6,6,0,6
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_05_1819,demog_exp,119.934774045,Slides\Slides4.jpg,"[3, 3]",19,sat,687,7,7,0,7
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1819,demog_exp,119.934774045,Slides\Slides8.jpg,"[1, 1]",19,dominant_hand,2,8,8,0,8
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1819,demog_exp,119.934774045,Slides\Slides9.jpg,"[1, 1]",19,adhd,2,9,9,0,9
,[],2018_Dec_05_1819,demog_exp,119.934774045,Slides\Slides10.jpg,"[1, 140]",19,lang,תירבע,10,10,0,10
,"['1', '2', '3', 'return', 'backspace']",2018_Dec_05_1819,demog_exp,119.934774045,Slides\Slides11.jpg,"[1, 1]",19,sight,1,11,11,0,11
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1819,demog_exp,119.934774045,Slides\Slides13.jpg,"[1, 1]",19,color_blind,1,12,12,0,12
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1819,demog_exp,119.934774045,Slides\Slides12.jpg,"[1, 1]",19,credit_or_payment,1,13,13,0,13
,['return'],2018_Dec_05_1849,demog_exp,120.022450587,Slides\Slides1.jpg,"[0, 0]",21,intro,,0,0,0,0
,[],2018_Dec_05_1849,demog_exp,120.022450587,Slides\Slides0.jpg,"[1, 140]",21,debrief,קוידה תמר תקידב ,1,1,0,1
,"['0', '1', '2', '3', 'return', 'backspace']",2018_Dec_05_1849,demog_exp,120.022450587,Slides\Slides5.jpg,"[1, 1]",21,degree,1,2,2,0,2
,[],2018_Dec_05_1849,demog_exp,120.022450587,Slides\Slides6.jpg,"[1, 140]",21,faculty,תיעדמ הניכמ,3,3,0,3
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_05_1849,demog_exp,120.022450587,Slides\Slides7.jpg,"[1, 3]",21,gpa,0,4,4,0,4
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1849,demog_exp,120.022450587,Slides\Slides2.jpg,"[1, 1]",21,sex,2,5,5,0,5
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_05_1849,demog_exp,120.022450587,Slides\Slides3.jpg,"[1, 2]",21,age,18,6,6,0,6
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_05_1849,demog_exp,120.022450587,Slides\Slides4.jpg,"[3, 3]",21,sat,580,7,7,0,7
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1849,demog_exp,120.022450587,Slides\Slides8.jpg,"[1, 1]",21,dominant_hand,1,8,8,0,8
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1849,demog_exp,120.022450587,Slides\Slides9.jpg,"[1, 1]",21,adhd,2,9,9,0,9
,[],2018_Dec_05_1849,demog_exp,120.022450587,Slides\Slides10.jpg,"[1, 140]",21,lang,תיברע,10,10,0,10
,"['1', '2', '3', 'return', 'backspace']",2018_Dec_05_1849,demog_exp,120.022450587,Slides\Slides11.jpg,"[1, 1]",21,sight,2,11,11,0,11
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1849,demog_exp,120.022450587,Slides\Slides13.jpg,"[1, 1]",21,color_blind,1,12,12,0,12
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1849,demog_exp,120.022450587,Slides\Slides12.jpg,"[1, 1]",21,credit_or_payment,2,13,13,0,13
,['return'],2018_Dec_05_1900,demog_exp,119.742069965,Slides\Slides1.jpg,"[0, 0]",22,intro,,0,0,0,0
,[],2018_Dec_05_1900,demog_exp,119.742069965,Slides\Slides0.jpg,"[1, 140]",22,debrief, ,1,1,0,1
,"['0', '1', '2', '3', 'return', 'backspace']",2018_Dec_05_1900,demog_exp,119.742069965,Slides\Slides5.jpg,"[1, 1]",22,degree,1,2,2,0,2
,[],2018_Dec_05_1900,demog_exp,119.742069965,Slides\Slides6.jpg,"[1, 140]",22,faculty,  ,3,3,0,3
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_05_1900,demog_exp,119.742069965,Slides\Slides7.jpg,"[1, 3]",22,gpa,20,4,4,0,4
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1900,demog_exp,119.742069965,Slides\Slides2.jpg,"[1, 1]",22,sex,2,5,5,0,5
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_05_1900,demog_exp,119.742069965,Slides\Slides3.jpg,"[1, 2]",22,age,18,6,6,0,6
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_05_1900,demog_exp,119.742069965,Slides\Slides4.jpg,"[3, 3]",22,sat,681,7,7,0,7
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1900,demog_exp,119.742069965,Slides\Slides8.jpg,"[1, 1]",22,dominant_hand,1,8,8,0,8
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1900,demog_exp,119.742069965,Slides\Slides9.jpg,"[1, 1]",22,adhd,2,9,9,0,9
,[],2018_Dec_05_1900,demog_exp,119.742069965,Slides\Slides10.jpg,"[1, 140]",22,lang, ,10,10,0,10
,"['1', '2', '3', 'return', 'backspace']",2018_Dec_05_1900,demog_exp,119.742069965,Slides\Slides11.jpg,"[1, 1]",22,sight,2,11,11,0,11
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1900,demog_exp,119.742069965,Slides\Slides13.jpg,"[1, 1]",22,color_blind,1,12,12,0,12
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1900,demog_exp,119.742069965,Slides\Slides12.jpg,"[1, 1]",22,credit_or_payment,1,13,13,0,13
,['return'],2018_Dec_05_1917,demog_exp,119.872988006,Slides\Slides1.jpg,"[0, 0]",23,intro,,0,0,0,0
,[],2018_Dec_05_1917,demog_exp,119.872988006,Slides\Slides0.jpg,"[1, 140]",23,debrief, היארה ןיבל עבצה לע הציחלה ןיב תלוכיה תא קודבל,1,1,0,1
,"['0', '1', '2', '3', 'return', 'backspace']",2018_Dec_05_1917,demog_exp,119.872988006,Slides\Slides5.jpg,"[1, 1]",23,degree,1,2,2,0,2
,[],2018_Dec_05_1917,demog_exp,119.872988006,Slides\Slides6.jpg,"[1, 140]",23,faculty,תילאיצוס הדובע,3,3,0,3
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_05_1917,demog_exp,119.872988006,Slides\Slides7.jpg,"[1, 3]",23,gpa,95,4,4,0,4
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1917,demog_exp,119.872988006,Slides\Slides2.jpg,"[1, 1]",23,sex,2,5,5,0,5
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_05_1917,demog_exp,119.872988006,Slides\Slides3.jpg,"[1, 2]",23,age,20,6,6,0,6
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_05_1917,demog_exp,119.872988006,Slides\Slides4.jpg,"[3, 3]",23,sat,640,7,7,0,7
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1917,demog_exp,119.872988006,Slides\Slides8.jpg,"[1, 1]",23,dominant_hand,1,8,8,0,8
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1917,demog_exp,119.872988006,Slides\Slides9.jpg,"[1, 1]",23,adhd,2,9,9,0,9
,[],2018_Dec_05_1917,demog_exp,119.872988006,Slides\Slides10.jpg,"[1, 140]",23,lang,תיברע,10,10,0,10
,"['1', '2', '3', 'return', 'backspace']",2018_Dec_05_1917,demog_exp,119.872988006,Slides\Slides11.jpg,"[1, 1]",23,sight,1,11,11,0,11
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1917,demog_exp,119.872988006,Slides\Slides13.jpg,"[1, 1]",23,color_blind,1,12,12,0,12
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1917,demog_exp,119.872988006,Slides\Slides12.jpg,"[1, 1]",23,credit_or_payment,1,13,13,0,13
,['return'],2018_Dec_05_1918,demog_exp,119.981081284,Slides\Slides1.jpg,"[0, 0]",24,intro,,0,0,0,0
,[],2018_Dec_05_1918,demog_exp,119.981081284,Slides\Slides0.jpg,"[1, 140]",24,debrief,הז לע תולעל יתחלצה אל ,1,1,0,1
,"['0', '1', '2', '3', 'return', 'backspace']",2018_Dec_05_1918,demog_exp,119.981081284,Slides\Slides5.jpg,"[1, 1]",24,degree,1,2,2,0,2
,[],2018_Dec_05_1918,demog_exp,119.981081284,Slides\Slides6.jpg,"[1, 140]",24,faculty,תיתאוושהו תירבע תורפס,3,3,0,3
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_05_1918,demog_exp,119.981081284,Slides\Slides7.jpg,"[1, 3]",24,gpa,85,4,4,0,4
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1918,demog_exp,119.981081284,Slides\Slides2.jpg,"[1, 1]",24,sex,2,5,5,0,5
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_05_1918,demog_exp,119.981081284,Slides\Slides3.jpg,"[1, 2]",24,age,23,6,6,0,6
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_05_1918,demog_exp,119.981081284,Slides\Slides4.jpg,"[3, 3]",24,sat,570,7,7,0,7
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1918,demog_exp,119.981081284,Slides\Slides8.jpg,"[1, 1]",24,dominant_hand,1,8,8,0,8
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1918,demog_exp,119.981081284,Slides\Slides9.jpg,"[1, 1]",24,adhd,2,9,9,0,9
,[],2018_Dec_05_1918,demog_exp,119.981081284,Slides\Slides10.jpg,"[1, 140]",24,lang,תיברע,10,10,0,10
,"['1', '2', '3', 'return', 'backspace']",2018_Dec_05_1918,demog_exp,119.981081284,Slides\Slides11.jpg,"[1, 1]",24,sight,1,11,11,0,11
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1918,demog_exp,119.981081284,Slides\Slides13.jpg,"[1, 1]",24,color_blind,2,12,12,0,12
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1918,demog_exp,119.981081284,Slides\Slides12.jpg,"[1, 1]",24,credit_or_payment,2,13,13,0,13
,['return'],2018_Dec_05_1947,demog_exp,119.824137628,Slides\Slides1.jpg,"[0, 0]",25,intro,,0,0,0,0
,[],2018_Dec_05_1947,demog_exp,119.824137628,Slides\Slides0.jpg,"[1, 140]",25,debrief,עיפומש המ לע לגרתמ שיאה םאה קודבל,1,1,0,1
,"['0', '1', '2', '3', 'return', 'backspace']",2018_Dec_05_1947,demog_exp,119.824137628,Slides\Slides5.jpg,"[1, 1]",25,degree,1,2,2,0,2
,[],2018_Dec_05_1947,demog_exp,119.824137628,Slides\Slides6.jpg,"[1, 140]",25,faculty,תרושקתב תוערפה,3,3,0,3
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_05_1947,demog_exp,119.824137628,Slides\Slides7.jpg,"[1, 3]",25,gpa,0,4,4,0,4
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1947,demog_exp,119.824137628,Slides\Slides2.jpg,"[1, 1]",25,sex,2,5,5,0,5
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_05_1947,demog_exp,119.824137628,Slides\Slides3.jpg,"[1, 2]",25,age,19,6,6,0,6
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_05_1947,demog_exp,119.824137628,Slides\Slides4.jpg,"[3, 3]",25,sat,718,7,7,0,7
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1947,demog_exp,119.824137628,Slides\Slides8.jpg,"[1, 1]",25,dominant_hand,1,8,8,0,8
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1947,demog_exp,119.824137628,Slides\Slides9.jpg,"[1, 1]",25,adhd,2,9,9,0,9
,[],2018_Dec_05_1947,demog_exp,119.824137628,Slides\Slides10.jpg,"[1, 140]",25,lang,תיברע,10,10,0,10
,"['1', '2', '3', 'return', 'backspace']",2018_Dec_05_1947,demog_exp,119.824137628,Slides\Slides11.jpg,"[1, 1]",25,sight,1,11,11,0,11
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1947,demog_exp,119.824137628,Slides\Slides13.jpg,"[1, 1]",25,color_blind,1,12,12,0,12
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1947,demog_exp,119.824137628,Slides\Slides12.jpg,"[1, 1]",25,credit_or_payment,1,13,13,0,13
,['return'],2018_Dec_05_1952,demog_exp,120.004229769,Slides\Slides1.jpg,"[0, 0]",26,intro,,0,0,0,0
,[],2018_Dec_05_1952,demog_exp,120.004229769,Slides\Slides0.jpg,"[1, 140]",26,debrief,ונלש עבצאה תמרה עוציב לע העיפשמ תועבצאה תנומת ךיא קודבל,1,1,0,1
,"['0', '1', '2', '3', 'return', 'backspace']",2018_Dec_05_1952,demog_exp,120.004229769,Slides\Slides5.jpg,"[1, 1]",26,degree,1,2,2,0,2
,[],2018_Dec_05_1952,demog_exp,120.004229769,Slides\Slides6.jpg,"[1, 140]",26,faculty,תרושקתב תוערפה,3,3,0,3
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_05_1952,demog_exp,120.004229769,Slides\Slides7.jpg,"[1, 3]",26,gpa,0,4,4,0,4
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1952,demog_exp,120.004229769,Slides\Slides2.jpg,"[1, 1]",26,sex,2,5,5,0,5
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_05_1952,demog_exp,120.004229769,Slides\Slides3.jpg,"[1, 2]",26,age,20,6,6,0,6
,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', 'return', 'backspace']",2018_Dec_05_1952,demog_exp,120.004229769,Slides\Slides4.jpg,"[3, 3]",26,sat,711,7,7,0,7
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1952,demog_exp,120.004229769,Slides\Slides8.jpg,"[1, 1]",26,dominant_hand,1,8,8,0,8
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1952,demog_exp,120.004229769,Slides\Slides9.jpg,"[1, 1]",26,adhd,2,9,9,0,9
,[],2018_Dec_05_1952,demog_exp,120.004229769,Slides\Slides10.jpg,"[1, 140]",26,lang,תיברע,10,10,0,10
,"['1', '2', '3', 'return', 'backspace']",2018_Dec_05_1952,demog_exp,120.004229769,Slides\Slides11.jpg,"[1, 1]",26,sight,2,11,11,0,11
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1952,demog_exp,120.004229769,Slides\Slides13.jpg,"[1, 1]",26,color_blind,1,12,12,0,12
,"['1', '2', 'return', 'backspace']",2018_Dec_05_1952,demog_exp,120.004229769,Slides\Slides12.jpg,"[1, 1]",26,credit_or_payment,1,13,13,0,13
,['return'],2018_Dec_06_1516,demog_exp,120.864336833,Slides\Slides1.jpg,"[0, 0]",27,intro,,0,0,0,0
,[],2018_Dec_06_1516,demog_exp,120.864336833,Slides\Slides0.jpg,"[1, 140]",27,debrief,תוטיסמה תעדה תוחסה תורמל תושירדב הדימע תלוכי קודבל,1,1,0,1
,"['0', '1', '2', '3', 'return', 'backspace']",2018_Dec_06_1516,demog_exp,120.864336833,Slides\Slides5.jpg,"[1, 1]",27,degree,1,2,2,0,2
